country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Cuba,Havana,23.13,-82.36,America/Havana,27,Partly cloudy,9.4,15.1,SSW,0,0,100,75,31.2,287.1,20.6,6.4,1,1
Cyprus,Nicosia,35.17,33.37,Asia/Nicosia,22,Partly cloudy,4.3,6.8,SW,0,0,73,25,24.6,253.7,52.2,4.1,2,2
Czech Republic,Prague,50.08,14.47,Europe/Prague,13,Overcast,6.9,11.2,W,0.1,0,94,100,13,217,32.5,7.9,1,1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,24,Clear,4.3,6.8,WSW,0,0,78,0,25.6,767.7,18.6,4.3,2,4
Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,14,Partly cloudy,3.8,6.1,WNW,0,0,82,75,14.4,243.7,16.1,9.7,1,1
Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,33,Partly cloudy,6.9,11.2,NNW,0.2,0.01,53,50,37.4,400.5,63.7,0.1,1,1
Dominica,Roseau,15.3,-61.4,America/Dominica,28.3,Light rain shower,12.3,19.8,E,1,0.04,79,80,32.8,240.3,16.6,0.7,1,1
Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,27,Partly cloudy,2.2,3.6,N,0,0,94,50,33,1014.7,0,18.3,2,2
Ecuador,Quito,-0.22,-78.5,America/Guayaquil,11.5,Clear,4.3,6.8,ESE,0,0,61,5,11,4272.5,0,98.7,2,3
Egypt,Cairo,30.05,31.25,Africa/Cairo,26,Clear,3.8,6.1,E,0,0,70,0,27.5,277,19.5,19.4,2,3
El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,27,Partly cloudy,2.2,3.6,SW,0,0,94,25,32.8,383.9,29,10.7,1,2
Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,24.1,Moderate or heavy rain shower,6.7,10.8,WNW,3.3,0.13,91,64,26.5,347.1,33.6,0,1,1
Eritrea,Asmara,15.33,38.93,Africa/Asmara,18.2,Clear,2.2,3.6,SSW,0,0,60,10,18.2,277,32.2,0.8,2,3
Estonia,Tallinn,59.43,24.73,Europe/Tallinn,14,Partly cloudy,6.9,11.2,ENE,0.1,0,94,25,12.7,196.9,44,4.5,1,1
Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,7.6,Clear,3.6,5.8,WNW,0,0,87,0,6.8,313.8,27.5,1.8,1,1
Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,14,Mist,9.4,15.1,WSW,0,0,100,75,14.7,494,12.3,3.8,1,2
Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,26,Partly cloudy,16.1,25.9,ESE,0,0,70,50,27.9,191.9,54.4,1.4,1,1
Finland,Helsinki,60.18,24.93,Europe/Helsinki,12,Fog,5.6,9,NE,0,0,100,75,10.5,257,45.8,17.5,1,1
France,Paris,48.87,2.33,Europe/Paris,14,Overcast,2.2,3.6,N,0,0,88,100,13.6,300.4,15,13,1,1
Gabon,Libreville,0.38,9.45,Africa/Libreville,25,Partly cloudy,8.1,13,SW,0,0,94,50,27.6,387.2,29.7,1.2,1,1
Gambia,Banjul,13.45,-16.58,Africa/Banjul,24,Partly cloudy,6.9,11.2,WSW,0.6,0.02,89,75,26,280.4,32.9,0.4,1,1
Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,20,Sunny,3.8,6.1,NNE,0.1,0,83,0,20,140.2,5,2,1,1
Germany,Berlin,52.52,13.4,Europe/Berlin,14,Clear,5.6,9,W,0,0,94,0,14.1,208.6,48.6,3.8,1,1
Ghana,Accra,5.55,-0.22,Africa/Accra,26,Partly cloudy,10.5,16.9,WSW,0,0,89,75,29.4,447.3,17.7,1.7,1,1
Greece,Athens,37.98,23.72,Europe/Athens,26,Partly cloudy,5.6,9,N,0,0,48,25,27.1,343.8,72.2,9.3,2,3
Grenada,Saint George's,12.05,-61.75,America/Grenada,27,Partly cloudy,5.6,9,E,0,0,89,50,29.7,257,27.9,1.2,1,1
Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,18.2,Light drizzle,4.3,6.8,S,1.1,0.04,97,75,18.2,600.8,15.9,19.4,2,4
Guinea,Conakry,9.51,-13.71,Africa/Conakry,25,Partly cloudy,2.2,3.6,WSW,7.7,0.3,94,75,27.8,367.2,24.3,0.3,1,1
Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,24.8,Light rain shower,9.8,15.8,SW,1,0.04,89,72,27.4,387.2,20.2,0.4,1,1
Guyana,Georgetown,6.8,-58.17,America/Guyana,26,Partly cloudy,2.2,3.6,E,0.1,0,94,25,29.1,250.3,10.6,4.5,1,1
Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,30,Clear,17.4,28.1,ESE,0,0,70,0,39.7,801.1,30.4,12.9,1,1
Vatican City,Vatican City,41.9,12.45,Europe/Rome,17,Light rain,5.6,9,NE,0,0,88,50,17,313.8,17.5,10.2,1,1
Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,25,Partly cloudy,2.2,3.6,NW,0.8,0.03,74,25,28.2,907.9,0.1,12.7,1,1
Hungary,Budapest,47.5,19.08,Europe/Budapest,16,Clear,3.8,6.1,N,0.6,0.02,100,0,16,267,35.4,4.9,1,2
Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,10,Light rain shower,11.6,18.7,SSE,0.2,0.01,91,91,7.5,247,57.9,0.2,1,1
India,New Delhi,28.6,77.2,Asia/Kolkata,29,Mist,6.9,11.2,W,0,0,66,25,29.6,370.5,43.6,9.9,1,2
Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,30,Partly cloudy,2.2,3.6,ESE,0,0,62,25,34.1,5928,4.6,82.3,5,10
Iran,Tehran,35.73,51.33,Asia/Tehran,22,Partly cloudy,11.9,19.1,WNW,0,0,57,50,22.9,440.6,8.1,85,1,2
Iraq,Baghdad,33.34,44.39,Asia/Baghdad,28,Sunny,2.5,4,SW,0,0,35,0,27.2,233.7,74.4,3.5,1,2
Ireland,Dublin,53.33,-6.25,Europe/Dublin,11,Partly cloudy,12.5,20.2,W,0,0,94,75,9.4,233.7,51.5,2.5,1,1
Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,25,Partly cloudy,6.9,11.2,SE,0,0,79,25,26.8,297.1,31.5,31.9,1,2
Italy,Rome,41.9,12.48,Europe/Rome,17,Light rain,5.6,9,NE,0,0,88,50,17,313.8,17.5,10.2,1,1
Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,31,Partly cloudy,18.6,29.9,SE,0,0,75,25,43.3,727.7,14.5,10.7,1,1
Japan,Tokyo,35.69,139.69,Asia/Tokyo,34,Partly cloudy,6.9,11.2,S,0,0,53,25,40,200.3,20.4,23.3,1,1
Jordan,Amman,31.95,35.93,Asia/Amman,21,Clear,2.2,3.6,N,0,0,69,0,21,303.8,37.2,16.1,2,2
Kazakhstan,Astana,51.18,71.43,Asia/Almaty,16,Light rain,13.6,22,SSE,0,0,77,75,16,233.7,75.1,5.2,1,1
Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,16,Partly cloudy,11.9,19.1,S,0,0,82,75,16,620.8,35.1,5.8,1,1
Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,28.5,Light rain shower,6.3,10.1,E,1.4,0.06,76,76,32.7,150.2,13.4,0,1,1
Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,33.2,Sunny,7.6,12.2,N,0,0,30,0,32.8,223.6,95.8,2.4,2,3
Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,23,Sunny,2.2,3.6,ENE,0,0,21,20,22.7,337.1,20.9,24.3,1,1
Indonesia,Laos,-8.18,114.32,Asia/Jakarta,27.5,Sunny,4.9,7.9,S,0,0,65,10,29.5,787.7,51.5,10,2,2
Latvia,Riga,56.95,24.1,Europe/Riga,16,Clear,4.3,6.8,E,0.1,0,88,0,16,213.6,50.8,4,1,1
Lebanon,Beirut,33.87,35.51,Asia/Beirut,28,Partly cloudy,4.3,6.8,SSE,0,0,62,75,31.2,227,95.8,1.6,1,2
Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,8,Clear,3.6,5.8,NE,0,0,30,2,7.2,847.8,14.3,11.5,3,8
Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,23.3,Heavy rain,4.3,6.8,SW,17.7,0.7,96,100,25.7,223.6,44.4,0.2,1,1
Thailand,Nan,18.78,100.78,Asia/Bangkok,26,Partly cloudy,2.2,3.6,SSE,1.8,0.07,94,75,30.6,343.8,7,3.6,1,1
Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,12,Overcast,2.2,3.6,SSW,0,0,100,100,12.5,212,26.8,10.3,1,1
Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,22,Partly cloudy,9.4,15.1,SW,0,0,73,25,24.5,217,48.6,1.7,1,1
Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,11,Partly cloudy,2.2,3.6,SW,0,0,100,50,11.1,186.9,1.5,17,1,1
Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,14,Partly cloudy,12.5,20.2,SSE,0,0,77,75,12.7,267,52.9,0.7,1,1
Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,12.3,Clear,7.6,12.2,SSE,0,0,83,13,11.1,403.9,44.7,1.4,1,1
Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,28,Partly cloudy,2.2,3.6,SE,0,0,79,25,33.7,3418,4.4,78.8,3,6
Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,27.7,Partly cloudy,11,17.6,NW,0,0,72,48,30.6,173.6,23.6,0.5,1,1
Mali,Bamako,12.65,-8,Africa/Bamako,23,Partly cloudy,2.2,3.6,SW,0,0,100,25,25.4,1108.2,1.3,6.1,3,5
Malta,Valletta,35.9,14.51,Europe/Malta,23,Clear,6.9,11.2,WNW,0,0,69,0,25,200.3,88.7,0.4,1,1
Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,31,Overcast,13.6,22,E,0.1,0,71,100,39.2,161.9,29.7,0,1,1
Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,27.8,Moderate or heavy rain shower,11,17.6,SW,3.7,0.15,78,90,31.6,320.4,42.9,1.9,1,2
Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,22,Overcast,8.1,13,SE,0,0,78,50,24.5,223.6,52.2,3,1,1
Mexico,Mexico City,19.43,-99.13,America/Mexico_City,21,Partly cloudy,11.9,19.1,NE,0,0,49,25,21,337.1,40.1,17.8,1,1
Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei,28,Light rain,6.9,11.2,W,0.1,0,89,100,32.9,158.6,9.2,0,1,1
Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk,21.6,Partly cloudy,9.4,15.1,N,0,0,63,27,21.6,175.2,25.4,1.1,1,1
Monaco,Monaco,43.73,7.42,Europe/Monaco,20,Partly cloudy,13.6,22,N,0.2,0.01,68,75,20,183.6,20,2.9,1,1
Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar,18,Sunny,2.2,3.6,N,0,0,60,0,18,220.3,36.5,9.3,1,1
Montenegro,Podgorica,42.44,19.26,Europe/Podgorica,18,Moderate rain,8.1,13,NE,2.4,0.09,94,100,18,190.3,41.8,1.7,1,1
Morocco,Rabat,34.03,-6.84,Africa/Casablanca,21,Partly cloudy,5.6,9,SW,0,0,100,50,21,213.6,88,0.9,1,1
Mozambique,Maputo,-25.97,32.59,Africa/Maputo,17,Partly cloudy,4.3,6.8,SW,0.1,0,88,75,17,807.8,18.4,5.7,2,3
Myanmar,Pathein,16.78,94.73,Asia/Yangon,29.2,Light rain shower,5.4,8.6,WSW,0.3,0.01,73,65,33.9,383.9,36.5,2,2,2
Namibia,Windhoek,-22.57,17.08,Africa/Windhoek,16,Clear,11.9,19.1,ENE,0,0,48,0,16,313.8,41.8,0.8,2,2
Turkey,Yaren,39.55,27.62,Europe/Istanbul,18,Clear,2.2,3.6,N,0,0,83,0,18,293.7,20.2,9.1,2,3
Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu,23,Partly cloudy,2.2,3.6,N,0.1,0,83,75,25.1,1508.7,24.7,14.6,4,10
Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam,15,Partly cloudy,8.1,13,S,0,0,82,25,14.1,260.4,60.1,13.2,1,1
New Zealand,Wellington,-41.3,174.78,Pacific/Auckland,13,Partly cloudy,20.6,33.1,N,0.1,0,72,50,10.3,213.6,60.1,0.1,1,1
Nicaragua,Managua,12.15,-86.27,America/Managua,27,Partly cloudy,2.2,3.6,N,0,0,100,50,31,297.1,9.6,5.7,1,2
Niger,Niamey,13.52,2.12,Africa/Niamey,29,Clear,11.9,19.1,WSW,0,0,75,0,31.4,420.6,23.3,0.4,1,1
Nigeria,Abuja,9.18,7.18,Africa/Lagos,23,Patchy light rain with thunder,6.9,11.2,SE,1.8,0.07,94,75,25.4,654.2,28.6,0.9,1,2
North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang,24.9,Patchy rain possible,4.9,7.9,WSW,0.1,0,69,84,26.5,250.3,77.3,1.2,1,1
Macedonia,Skopje,42,21.43,Europe/Skopje,16,Partly cloudy,2.2,3.6,W,0,0,88,25,16,320.4,70.8,4.2,2,2
Norway,Oslo,59.92,10.75,Europe/Oslo,13,Partly cloudy,8.1,13,E,0,0,94,25,13.6,243.7,31.8,10.9,1,1
Oman,Muscat,23.61,58.59,Asia/Muscat,30,Sunny,4.3,6.8,ENE,0,0,89,0,36.6,185.3,64.4,2.2,3,5
Pakistan,Islamabad,33.7,73.17,Asia/Karachi,25.7,Sunny,4.7,7.6,ENE,0,0,63,8,27,647.5,98.7,8.7,3,5
Palau,Adkip,7.36,134.51,Pacific/Palau,31,Partly cloudy,9.4,15.1,WSW,0,0,71,75,40.1,203.6,12.5,0.1,1,1
Bolivia,National,-11.18,-67.08,America/La_Paz,29,Clear,2.2,3.6,W,0,0,45,17,29.4,514,31.5,0.5,2,2
Panama,Panama City,8.97,-79.53,America/Panama,29,Partly cloudy,4.3,6.8,NW,0,0,84,50,37,801.1,4.7,19,1,1
Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby,30,Mist,11.9,19.1,SSE,0,0,55,25,33.9,207,69.4,1.2,1,1
Paraguay,Carreria,-21.55,-58.12,America/Asuncion,22.8,Partly cloudy,4,6.5,SE,0,0,58,40,24.8,370.5,25.8,0.7,1,2
Peru,Lima,-12.05,-77.05,America/Lima,17.2,Partly cloudy,10.3,16.6,SSE,0,0,81,34,17.2,370.5,38.6,18.5,1,2
Philippines,Manila,14.6,120.98,Asia/Manila,31,Partly cloudy,16.1,25.9,W,28.7,1.13,75,75,44.7,330.5,47.2,6.6,1,1
Poland,Warsaw,52.25,21,Europe/Warsaw,18,Partly cloudy,8.1,13,WNW,0,0,94,75,18,253.7,28.6,5.2,2,2
Portugal,Lisbon,38.72,-9.13,Europe/Lisbon,19,Partly cloudy,6.9,11.2,N,0,0,78,25,19,217,65.8,1.2,1,1
Qatar,Doha,25.29,51.53,Asia/Qatar,34,Sunny,9.4,15.1,E,0,0,75,0,43.8,263.7,57.2,32.6,2,3
Romania,Bucharest,44.43,26.1,Europe/Bucharest,22,Partly cloudy,4.3,6.8,ENE,0,0,65,25,24.5,250.3,50.8,4.5,1,2
Russia,Moscow,55.75,37.62,Europe/Moscow,14,Overcast,6.9,11.2,NNW,0,0,88,100,14.7,377.2,0,24.7,2,2
Rwanda,Kigali,-1.95,30.06,Africa/Kigali,18,Partly cloudy,5.6,9,NNW,0,0,60,50,18,680.9,20.2,8.1,2,3
Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts,29,Clear,12.5,20.2,E,0,0,84,0,34,250.3,16.1,0.4,1,1
Saint Lucia,Castries,14,-61,America/St_Lucia,28,Partly cloudy,5.6,9,ESE,1,0.04,84,75,32.7,208.6,22.2,0.1,1,1
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent,28.9,Patchy rain possible,19.2,31,E,2,0.08,75,89,33.4,267,18.6,0.2,1,1
Samoa,Apia,-13.83,-171.73,Pacific/Apia,30,Partly cloudy,5.6,9,SE,0.1,0,75,75,36.9,185.3,52.9,0.2,1,1
San Marino,San Marino,43.93,12.45,Europe/Rome,18,Partly cloudy,5.6,9,WSW,0.1,0,73,50,18,237,54.4,3.8,1,1
Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels,13,Partly cloudy,4.3,6.8,SSE,0,0,82,75,12.5,297.1,34.3,23.7,1,1
Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh,30,Sunny,6.9,11.2,NE,0,0,33,0,28.2,190.3,98.7,5.1,4,10
Senegal,Dakar,14.67,-17.44,Africa/Dakar,27.8,Light rain shower,17.2,27.7,SSW,0.2,0.01,80,54,31.7,263.7,34.3,0.6,1,1
Serbia,Belgrade,44.8,20.47,Europe/Belgrade,18,Clear,3.8,6.1,SE,0,0,88,0,18,273.7,20,7.5,2,2
Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe,26,Partly cloudy,11.9,19.1,SSE,0.2,0.01,79,25,28.8,193.6,54.4,0.2,1,1
Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown,23.4,Heavy rain,8.3,13.3,W,19.6,0.77,96,100,25.8,347.1,21.3,0.5,1,1
Singapore,Singapore,1.29,103.86,Asia/Singapore,29,Partly cloudy,3.8,6.1,NNW,0.9,0.04,79,75,33.7,694.3,1.3,32.9,1,1
Slovakia,Bratislava,48.15,17.12,Europe/Bratislava,15,Partly cloudy,15,24.1,NW,0,0,88,50,13.7,213.6,47.2,3.1,1,1
Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana,14,Overcast,2.2,3.6,NNE,0,0,94,100,14.7,203.6,41.8,2.3,1,1
Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal,27.7,Light rain shower,2.7,4.3,NNE,1.5,0.06,77,51,31.2,196.9,36.1,1.2,1,1
Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu,24.1,Light rain shower,17,27.4,SW,0.4,0.02,84,88,26.2,191.9,34.7,0.1,1,1
South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg,9,Clear,6.9,11.2,ESE,0,0,76,0,8.3,367.2,46.5,5.1,1,1
South Korea,Seoul,37.57,127,Asia/Seoul,25,Partly cloudy,3.8,6.1,WNW,0.2,0.01,79,75,26.5,654.2,47.2,80.9,3,9
Sudan,Juba,12.15,24.45,Africa/Khartoum,24,Patchy rain possible,8.5,13.7,W,0.2,0.01,76,88,25.8,253.7,14.8,0.3,1,1
Spain,Madrid,40.4,-3.68,Europe/Madrid,18,Clear,4.3,6.8,ENE,0,0,45,0,18,253.7,30.8,17.1,1,1
Sri Lanka,Colombo,6.93,79.85,Asia/Colombo,26,Partly cloudy,6.9,11.2,SE,4.1,0.16,94,50,28.8,270.4,26.1,9.3,1,1
Sudan,Khartoum,15.59,32.53,Africa/Khartoum,26.2,Partly cloudy,30,48.2,SSE,0,0,70,46,28.1,287.1,33.3,0.8,1,1
Suriname,Paramaribo,5.83,-55.17,America/Paramaribo,27,Partly cloudy,4.3,6.8,E,0,0,89,25,32.3,287.1,23.3,0.1,1,1
Sweden,Stockholm,59.33,18.05,Europe/Stockholm,14,Light rain,2.2,3.6,N,0.4,0.02,94,75,14.7,213.6,47.9,8.7,1,1
Switzerland,Bern,46.92,7.47,Europe/Zurich,10,Overcast,4.3,6.8,ESE,0,0,100,100,10.3,210.3,28.6,7.4,1,1
Syria,Damascus,33.5,36.3,Asia/Damascus,20,Clear,18.6,29.9,SW,0,0,88,0,20,267,25,12,2,2
Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe,20,Sunny,2.2,3.6,NNE,0,0,56,0,20,188.6,44.7,1.7,1,1
Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam,18,Partly cloudy,9.4,15.1,ENE,0,0,68,25,18,263.7,40.1,0.5,1,1
Thailand,Bangkok,13.75,100.52,Asia/Bangkok,31,Partly cloudy,4.3,6.8,SSW,0,0,71,25,34.9,1014.7,2.9,23.7,2,2
Indonesia,Murong Timor,-7.56,112.27,Asia/Jakarta,30.1,Sunny,2.2,3.6,NNE,0,0,49,0,31.4,507.4,66.5,5.7,2,2
Bulgaria,Lom,43.81,23.24,Europe/Bucharest,17.8,Patchy light rain with thunder,3.6,5.8,SE,0.3,0.01,92,84,17.9,250.3,61.5,1.1,1,1
Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu,26,Partly cloudy,17.4,28.1,E,0.1,0,65,75,27.4,193.6,74.4,0.2,1,1
Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain,25,Partly cloudy,2.2,3.6,N,0,0,94,25,27.7,270.4,5.4,8.4,1,1
Tunisia,Tunis,36.8,10.18,Africa/Tunis,22,Partly cloudy,3.8,6.1,NW,0,0,78,50,24.6,220.3,30,2.6,1,1
Turkey,Ankara,39.93,32.86,Europe/Istanbul,18,Clear,2.2,3.6,N,0,0,56,0,18,350.5,4.9,30.2,1,2
Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat,24,Light rain,11.9,19.1,WNW,0,0,57,100,24.8,240.3,85.8,1.8,1,1
Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti,28.7,Patchy rain possible,13.9,22.3,ENE,0.1,0,77,64,33.4,166.9,11,0,1,1
Uganda,Kampala,0.32,32.57,Africa/Kampala,21,Partly cloudy,3.8,6.1,N,0,0,83,50,21,554.1,4,3.7,2,3
Ukraine,Lviv,49.83,24,Europe/Kiev,17.3,Light rain shower,2.2,3.6,SSW,0.9,0.04,95,70,17.3,210.3,49.4,1.7,1,1
United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai,32,Sunny,4.3,6.8,NW,0,0,46,0,33.2,240.3,77.3,13.2,2,3
United Kingdom,London,51.52,-0.11,Europe/London,11,Partly cloudy,5.6,9,WNW,0,0,94,50,9.7,247,50.8,8.7,1,1
United States of America,Washington Park,46.6,-120.49,America/Los_Angeles,22.2,Overcast,6.9,11.2,NNW,0,0,40,100,24.6,168.6,60.1,1.2,1,1
Uruguay,Montevideo,-34.86,-56.17,America/Montevideo,9,Clear,6.9,11.2,E,0,0,100,0,7.1,307.1,25.4,6,1,1
Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent,22,Partly cloudy,2.5,4,S,0,0,41,25,22.4,474,10.4,43.9,1,1
Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate,24,Heavy rain,12.5,20.2,E,3,0.12,89,75,26.2,181.9,62.9,0,1,1
Venezuela,Caracas,10.5,-66.92,America/Caracas,31,Partly cloudy,5.6,9,E,0,0,79,75,44.8,487.3,23.6,23,1,1
Vietnam,Hanoi,21.03,105.85,Asia/Bangkok,31,Sunny,9.4,15.1,N,0,0,55,0,34.2,654.2,75.8,14.1,2,3
Yemen,Sanaa,15.35,44.21,Asia/Aden,18.8,Partly cloudy,2.5,4,W,0,0,40,43,18.8,230.3,41.8,21.8,2,3
Zambia,Lusaka,-15.42,28.28,Africa/Lusaka,12.5,Clear,10.7,17.3,E,0,0,67,3,10.7,988,43.6,4.2,1,1
Zimbabwe,Harare,-17.82,31.04,Africa/Harare,8.1,Clear,8.5,13.7,ESE,0,0,80,4,5.7,270.4,36.8,3.5,1,1
Afghanistan,Kabul,34.52,69.18,Asia/Kabul,18.1,Clear,2.2,3.6,WSW,0,0,40,0,18.1,754.4,46.5,6.4,1,1
Albania,Tirana,41.33,19.82,Europe/Tirane,20,Patchy light rain with thunder,2.2,3.6,N,4.5,0.18,100,75,20,201.9,72.2,1.1,1,1
Algeria,Algiers,36.76,3.05,Africa/Algiers,23,Partly cloudy,2.5,4,SSE,0,0,78,25,25,223.6,81.5,5.9,1,1
Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra,5.1,Mist,2.2,3.6,N,0,0,95,46,5.1,153.5,27.2,1.6,1,1
