country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,26,Partly cloudy,12.5,20.2,ESE,0.1,0,79,75,28.7,195.3,50.1,1.4,1,1
Finland,Helsinki,60.18,24.93,Europe/Helsinki,18,Mist,4.3,6.8,E,0,0,100,100,18,227,27.2,7.3,1,1
France,Paris,48.87,2.33,Europe/Paris,14,Overcast,2.2,3.6,N,0,0,72,100,13.8,293.7,40.4,14.9,1,1
Gabon,Libreville,0.38,9.45,Africa/Libreville,25,Partly cloudy,9.4,15.1,SSW,0.2,0.01,89,50,27.6,480.7,33.3,1.3,1,1
Gambia,Banjul,13.45,-16.58,Africa/Banjul,25,Partly cloudy,2.2,3.6,N,1,0.04,100,75,27.2,337.1,21.8,0.5,1,1
Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,19,Clear,2.2,3.6,N,0,0,83,0,19,223.6,47.2,1.9,1,1
Germany,Berlin,52.52,13.4,Europe/Berlin,14,Clear,4.3,6.8,S,0.3,0.01,88,0,13.3,263.7,12.7,23.3,1,1
Ghana,Accra,5.55,-0.22,Africa/Accra,26,Overcast,9.4,15.1,SW,0.5,0.02,89,100,29.5,440.6,31.5,4.4,1,1
Greece,Athens,37.98,23.72,Europe/Athens,26,Clear,2.2,3.6,WNW,0,0,42,0,26.7,237,98.7,4,1,1
Grenada,Saint George's,12.05,-61.75,America/Grenada,29,Partly cloudy,12.5,20.2,E,0.1,0,84,25,35.2,260.4,19.7,1.4,1,1
Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,25,Partly cloudy,6.9,11.2,SSE,1,0.04,61,25,27.9,1188.3,40.1,30.9,4,10
Guinea,Conakry,9.51,-13.71,Africa/Conakry,27,Partly cloudy,2.2,3.6,NE,0,0,89,50,30.6,260.4,37.9,0.3,1,1
Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,25,Partly cloudy,2.2,3.6,SW,0.2,0.01,94,50,27.4,270.4,20,0.8,1,1
